"""course code""","""course name""","""prerequisites""","""restrictions"""
"""ENGG*4480""","""Advanced Mechatronic Systems Design""","""ENGG*3490""","""{}"""
"""ENGG*4490""","""Sampled Data Control Design""","""ENGG*3390 AND ENGG*3410""","""{}"""
"""ENGG*4510""","""Assessment and Management of Risk""","""STAT*2040 OR STAT*2120""","""{}"""
"""ENGG*4540""","""Advanced Computer Architecture""","""ENGG*3380""","""{}"""
"""ENGG*4550""","""VLSI Digital Design""","""ENGG*2410 AND ENGG*2450 AND ENGG*3450""","""{}"""
"""ENGG*4560""","""Embedded System Design""","""ENGG*3380 OR ENGG*3640""","""{}"""
"""ENGG*4580""","""Sustainable Energy Systems Design""","""ENGG*3080 AND ENGG*3370 AND ENGG*3430""","""{}"""
"""ENGG*4660""","""Medical Image Processing""","""ENGG*3390""","""{}"""
"""ENGG*4680""","""Multidisciplinary Engineering Design""","""ENGG*3100""","""{}"""
"""ENGG*4760""","""Biological Wastewater Treatment Design""","""ENGG*3590""","""{}"""
"""ENGG*4770""","""Physical and Chemical Water and Wastewater Treatment Design""","""ENGG*3590""","""{}"""
"""ENGG*4810""","""Control of Atmospheric Particulates""","""6.00 credits of ENGG courses AND ENGG*2230 AND MATH*2130 AND (ENGG*2450 OR PHYS*1010)""","""{}"""
"""ENGG*4820""","""Atmospheric Emission Control: Combustion Systems""","""ENGG*2560 AND ENGG*3260""","""{}"""
"""ENGL*1030""","""Effective Writing""","""()""","""{}"""
"""ENGL*1080""","""Foundations in Critical Reading and Writing""","""()""","""{}"""
"""ENGL*1200""","""Reading the Contemporary World""","""()""","""{}"""
"""ENGL*1410""","""Major Writers""","""()""","""{}"""
"""ENGL*1500""","""Medicine and Literature""","""()""","""{}"""
"""ENGL*2040""","""Latina/Latino Literature and Cultural Production: Intro""","""2.00 credits""","""{}"""
"""ENGL*2080""","""Literatures in English II: Foundations in Literary Scholarship""","""ENGL*1080""","""{}"""
"""ENGL*2090""","""Studies in Shakespeare""","""2.00 credits""","""{ENGL*3020,ENGL*3120}"""
"""ENGL*2120""","""Seminar: Critical Practices""","""ENGL*1080""","""{}"""
"""ENGL*2130""","""Seminar: Literature and Social Change""","""ENGL*1080""","""{}"""
"""ENGL*2190""","""Queer Literatures and Cultures""","""2.00 credits""","""{}"""
"""ENGL*2200""","""Postcolonial Literatures, Film, and Other Media""","""2.00 credits""","""{}"""
"""ENGL*2260""","""Law and Literature""","""2.00 credits""","""{}"""
"""ENGL*2270""","""Fairy, Trickster, and Mythical Hero""","""2.00 credits""","""{}"""
"""ENGL*2280""","""Sporting Bodies""","""2.00 credits""","""{}"""
"""ENGL*2290""","""Outlaws""","""2.00 credits""","""{}"""
"""ENGL*2310""","""Vampires, Ghosts, and Mummies: Literature and the Supernatural""","""2.00 credits""","""{}"""
"""ENGL*2330""","""Print Culture and Cinema""","""2.00 credits""","""{}"""
"""ENGL*2360""","""Medieval Literature""","""2.00 credits""","""{ENGL*3560}"""
"""ENGL*2370""","""Literature and Community-Engaged Learning""","""2.00 credits""","""{}"""
"""ENGL*2380""","""Reading Poetry""","""4.00 credits""","""{}"""
"""ENGL*2550""","""Indigenous Literatures of North America""","""2.00 credits""","""{}"""
"""ENGL*2640""","""Culture, Location, Identity: Minoritized Literatures in Canada and Beyond""","""2.00 credits""","""{}"""
"""ENGL*2740""","""Children's Literature""","""2.00 credits""","""{}"""
"""ENGL*2880""","""Women in Literature""","""2.00 credits""","""{}"""
"""ENGL*2920""","""Elements of Creative Writing""","""4.00 credits""","""{}"""
"""ENGL*3000""","""Editorial Experience""","""ENGL*1080 AND (ENGL*2120 OR ENGL*2130 OR ENGL*2920)""","""{}"""
"""ENGL*3030""","""Intermediate Creative Nonfiction Writing Workshop""","""ENGL*1080 AND ENGL*2920""","""{}"""
"""ENGL*3050""","""Intermediate Fiction Writing Workshop""","""ENGL*1080 AND ENGL*2920""","""{}"""
"""ENGL*3060""","""Intermediate Poetry Writing Workshop""","""ENGL*1080 AND ENGL*2920""","""{ENGL*2940}"""
"""ENGL*3070""","""Intermediate Screenwriting Workshop""","""ENGL*1080 AND ENGL*2920""","""{}"""
"""ENGL*3100""","""Reading 2.0: Electronic Lit, Games, and Digital Narrative Forms""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030.""","""{}"""
"""ENGL*3200""","""The Fairy Tale""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3220""","""Representing Britain: 18th- & 19th- Century Literature""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3240""","""Studies in Early Modern Literature and Culture""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{ENGL*3170,ENGL*3190}"""
"""ENGL*3300""","""Restoration to Romanticism: Forging the Nation""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3320""","""Romanticism to Victorianism: Culture and Conformity""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3340""","""British Imperial Culture""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3380""","""Studies in the History of Literary Production""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3420""","""20th- & 21st-Century Drama""","""7.50 credits AND [0.50 credits in English excluding ENGL*1030 OR 0.50 credits in Theatre Studies]""","""{}"""
"""ENGL*3470""","""20th- and 21st Century British Literature""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3540""","""Writing the United States""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3550""","""Modern United States Literatures""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3570""","""Chaucer in Context""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3630""","""Writing Canada: Forging the Nation""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3680""","""20th- & 21st-Century Canadian Literature and Criticism""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3690""","""History of Literary Criticism""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3750""","""Studies in Postcolonial Literatures""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3760""","""The Atlantic World""","""7.50 credits AND 0.50 credits in English excluding ENGL*1030""","""{}"""
"""ENGL*3870""","""Topics in Literary and Cultural Studies""","""7.50 credits AND 0.50 credits in English.""","""{}"""
"""ENGL*3880""","""Topics in Literary and Cultural Studies""","""1.00 credits in English.""","""{}"""
"""ENGL*3940""","""Seminar: Genre in Cultural Context""","""ENGL*2080""","""{}"""
"""ENGL*3960""","""Seminar: Literature in History""","""ENGL*2080""","""{}"""
"""ENGL*4090""","""Spec Topic Digital Lit Studies""","""14.00 credits""","""{}"""
"""ENGL*4240""","""Medieval and Early Modern Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4040}"""
"""ENGL*4250""","""18th- and 19th- Century Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4050}"""
"""ENGL*4270""","""United States Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4070}"""
"""ENGL*4280""","""Canadian Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4080}"""
"""ENGL*4310""","""Special Studies in English""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4100,ENGL*4110}"""
"""ENGL*4400""","""Postcolonial Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4200}"""
"""ENGL*4410""","""Modern & Contemporary Literatures""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4210}"""
"""ENGL*4420""","""Women's Writings""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4220}"""
"""ENGL*4500""","""Non-fiction Prose""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4300}"""
"""ENGL*4720""","""Creative Writing: Prose/Poetry""","""ENGL*2920 OR ENGL*2940 OR ENGL*3050 OR ENGL*3060 OR ENGL*3070 OR ENGL*3090""","""{}"""
"""ENGL*4810""","""Directed Reading""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{}"""
"""ENGL*4880""","""20th- & 21st-Century Poetry""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4680}"""
"""ENGL*4890""","""Contemporary Literary Theory""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{ENGL*4690}"""
"""ENGL*4910""","""Honours English Essay""","""ENGL*2080 AND (ENGL*2120 OR ENGL*2130) AND (ENGL*3940 OR ENGL*3960)""","""{}"""
"""EDRD*3050""","""Agricultural Communication""","""10.00 credits""","""{}"""
"""EDRD*3120""","""Educational Communication""","""5.00 credits""","""{REXT*3100}"""
"""EDRD*3140""","""Organizational Communication""","""5.00 credits""","""{REXT*3040}"""
"""EDRD*3160""","""International Communication""","""10.00 credits""","""{REXT*3060}"""
"""EDRD*3400""","""Sustainable Communities""","""10.00 credits""","""{}"""
"""EDRD*1400""","""Introduction to Design""","""()""","""{}"""
"""EDRD*2020""","""Interpersonal Communication""","""()""","""{}"""
"""EDRD*2250""","""Planning Theory and Practice""","""2.00 credits""","""{}"""
"""EDRD*2650""","""Introduction to Planning and Environmental Law""","""5.00 credits""","""{}"""
"""EDRD*3450""","""Watershed Planning Practice""","""10.00 credits""","""{}"""
"""EDRD*3500""","""Recreation and Tourism Planning""","""10.00 credits""","""{}"""
"""EDRD*4010""","""Tourism Planning in the Less Developed World""","""5 credits""","""{}"""
"""EDRD*4020""","""Rural Extension in Change and Development""","""10.00 credits""","""{}"""
"""EDRD*4120""","""Leadership Development in Small Organizations""","""10.00 credits""","""{REXT*4100}"""
"""ENVM*4500""","""Environmental Management Integrated Project""","""ENVS*2230""","""{ENVM*3500}"""
"""ENVS*1030""","""Introduction to Environmental Sciences""","""()""","""{ENVS*1100}"""
"""ENVS*1040""","""Natural History of the Great Lakes Region""","""()""","""{}"""
"""ENVS*1060""","""Discovering Planet Earth""","""()""","""{}"""
"""ENVS*1100""","""Fundamentals of Environmental Sciences""","""()""","""{ENVS*1030}"""
"""ENVS*2030""","""Meteorology and Climatology""","""IPS*1500 OR MATH*1080 OR MATH*1200 OR PHYS*1070 OR PHYS*1080 OR PHYS*1130 OR PHYS*1300""","""{}"""
"""ENVS*2040""","""Plant Health and the Environment""","""BIOL*1040 OR (2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""ENVS*2060""","""Soil Science""","""()""","""{AGR*2320}"""
"""ENVS*2070""","""Environmental Ethics and Perspectives""","""()""","""{}"""
"""ENVS*2080""","""Introduction to Environmental Microbiology""","""BIOL*1070 AND BIOL*1090""","""{ENVM*1020,ENVS*2320}"""
"""ENVS*2090""","""Problem Solving in Environmental Biology""","""BIOL*1070 AND BIOL*1090 AND CHEM*1050 AND MATH*1080""","""{}"""
"""ENVS*2120""","""Introduction to Environmental Stewardship""","""()""","""{}"""
"""ENVS*2130""","""Eating Sustainably in Ontario""","""4.00 credits""","""{}"""
"""ENVS*2210""","""Apiculture and Honey Bee Biology""","""()""","""{}"""
"""ENVS*2230""","""Communications in Environmental Science""","""ENVM*1000 OR ENVM*1200 OR ENVS*1030""","""{}"""
"""ENVS*2240""","""Fundamentals of Environmental Geology""","""ENVS*1040 OR GEOG*1300""","""{ENVS*1050}"""
"""ENVS*2250""","""Geology of Natural Disasters""","""ENVS*1050 OR ENVS*1060 OR GEOL*1050 OR GEOL*1100 OR GEOG*1300 OR GEOG*1350""","""{}"""
"""ENVS*2270""","""Impacts of Climate Change""","""Minimum of 4.00 credits""","""{}"""
"""ENVS*2310""","""Introduction to Biogeochemistry""","""BIOL*1070 AND CHEM*1040""","""{}"""
"""ENVS*2330""","""Current Issues in Ecosystem Science and Biodiversity""","""BIOL*1050 OR BIOL*1070 OR ENVM*1000 OR ENVM*1200 OR ENVS*1030""","""{ENVB*3330,ENVS*2150}"""
"""ENVS*3000""","""Nature Interpretation""","""BIOL*2060""","""{}"""
"""ENVS*3010""","""Climate Change Biology""","""BIOL*2060""","""{}"""
"""ENVS*3020""","""Pesticides and the Environment""","""[BIOL*1040 OR (2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090] OR CHEM*1040)""","""{}"""
"""ENVS*3040""","""Natural Chemicals in the Environment""","""BIOL*1040 OR (2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""ENVS*3050""","""Microclimatology""","""ENVS*2030""","""{}"""
"""ENVS*3060""","""Groundwater""","""AGR*2320 OR ENVS*2060""","""{}"""
"""ENVS*3080""","""Soil and Water Conservation""","""AGR*2320 OR ENVS*2060 OR SOIL*2010""","""{}"""
"""ENVS*3090""","""Insect Diversity and Biology""","""BIOL*1040 OR (2 of BIOL*1050 OR BIOL*1070 OR BIOL*1080 OR BIOL*1090)""","""{}"""
"""ENVS*3140""","""Management of Turfgrass Diseases""","""HORT*2450""","""{DTM*3200}"""
"""ENVS*3150""","""Aquatic Systems""","""10.00 credits AND BIOL*1030 AND BIOL*1040 OR BIOL*1070 AND BIOL*1090 AND CHEM*1040""","""{BIOL*3450}"""
"""ENVS*3180""","""Sedimentary Environments""","""ENVS*1050 OR ENVS*2240""","""{ENVS*2400}"""
"""ENVS*3210""","""Plant Pathology""","""BIOL*1040 OR BIOL*1050 OR BIOL*1070""","""{}"""
"""ENVS*3220""","""Terrestrial Chemistry""","""CHEM*1050 AND (ENVS*1050 OR ENVS*2060 OR ENVS*2240)""","""{}"""
"""ENVS*3230""","""Agroforestry Systems""","""5.00 credits AND (BIOL*1040 OR BIOL*1050 OR BIOL*1070)""","""{}"""
"""ENVS*3240""","""Creative Writing for Environmental Science""","""9.50 credits""","""{}"""
"""ENVS*3250""","""Forest Health and Disease""","""BOT*2100 OR ENVB*2030 OR ENVS*2040 OR ENVS*2330""","""{}"""
"""ENVS*3270""","""Forest Biodiversity""","""BIOL*2060 OR BOT*3050 OR ENVS*2330""","""{}"""
"""ENVS*3290""","""Waterborne Disease Ecology""","""(ENVS*2080 OR ENVS*2320 OR [MBG*2040 AND (BIOL*2060 OR MICR*2420)]""","""{}"""
"""ENVS*3300""","""Introduction to Controlled Environment Systems""","""BIOL*1050 OR BIOL*1070""","""{}"""
"""ENVS*3310""","""Soil Biodiversity and Ecosystem Function""","""10.00 credits AND (AGR*2320 OR ENVS*2060 OR SOIL*2010)""","""{}"""
"""ENVS*3330""","""Flexible Environmental Internship""","""9 credits""","""{UNIV*2100,UNIV*3140}"""
"""ENVS*3340""","""Environmental Data Analysis""","""ECON*2740 OR GEOG*2460 OR STAT*2040 OR STAT*2060 OR STAT*2230""","""{}"""
"""ENVS*3370""","""Terrestrial Ecosystem Ecology""","""BIOL*2060 OR ENVS*2330""","""{}"""
"""ENVS*4000""","""Toxicological Risk Assessment""","""TOX*2000""","""{}"""
"""ENVS*4001""","""Project in Environmental Sciences""","""12.00 credits""","""{}"""
"""ENVS*4002""","""Project in Environmental Sciences""","""ENVS*4001""","""{}"""
"""ENVS*4030""","""Ecohydrology""","""(BIOL*3130 OR GEOG*3610) AND (GEOG*2460 OR STAT*2040 OR STAT*2060 OR STAT*2120 OR STAT*2230)""","""{}"""
"""ENVS*4050""","""Predicting Impacts of Environmental Change""","""ENVS*3050""","""{}"""
"""ENVS*4070""","""Pollinator Conservation""","""BIOL*3130""","""{}"""
"""ENVS*4090""","""Soil Management""","""AGR*2320 OR ENVS*2060""","""{ENVS*4160}"""
"""ENVS*4100""","""Integrated Management of Invasive Insect Pests""","""CROP*3300 OR CROP*3310 OR ENVB*2040 OR ENVB*3090 OR ENVS*2040 OR ENVS*3090 OR HORT*3280 OR HORT*3350 OR HORT*3510""","""{}"""
"""ENVS*4160""","""Soil and Nutrient Management""","""AGR*2301/2 OR AGR*2320 OR ENVS*2060 OR SOIL*2010""","""{ENVM*1070,ENVS*4090,SOIL*4090}"""
"""ENVS*4180""","""Insecticide Biological Activity and Resistance""","""Minimum of 12.00 credits""","""{}"""
"""ENVS*4190""","""Biological Activity of Herbicides""","""Minimum of 12.00 credits""","""{ENVB*4240}"""
"""ENVS*4210""","""Meteorological and Environmental Instrumentation""","""ENVS*3050 OR ENVS*3130 OR ENVS*3340 OR PHYS*3100""","""{}"""
"""ENVS*4230""","""Biology of Aquatic Insects""","""ENVB*3090 OR ENVS*3090""","""{}"""
"""ENVS*4260""","""Field Entomology""","""(ENVB*3090 OR ENVS*3090) OR (ENVB*4040 OR ENVS*4040)""","""{}"""
"""ENVS*4320""","""Laboratory and Field Methods in Soil Biodiversity""","""ENVS*3200 OR ENVS*3310""","""{}"""
"""ENVS*4350""","""Forest Ecology""","""BIOL*2060 OR ENVS*2330""","""{}"""
"""ENVS*4360""","""Glacial Environments""","""ENVS*2400 OR ENVS*3180""","""{}"""
"""ENVS*4370""","""Natural and Anthropogenic Compounds in the Environment""","""CHEM*3360 OR ENVS*3020 OR ENVS*3220 OR TOX*3360""","""{}"""
"""ENVS*4390""","""Soil Variability and Land Evaluation""","""10.00 credits AND (AGR*2320 OR ENVS*2060 OR ENVS*2310 OR ENVS*2340)""","""{ENVS*3120,ENVS*4150,ENVS*4250,SOIL*4250}"""
"""ENVS*4410""","""Introduction to Advanced Independent Research""","""Minimum of 10.00 credits. Minimum cumulative average of 70%.""","""{}"""
"""ENVS*4420""","""Advanced Independent Research""","""ENVS*4410. Minimum cumulative average of 70%.""","""{ENVS*4430}"""
"""ENVS*4430""","""Advanced Independent Research""","""ENVS*4410. Minimum cumulative average of 70%.""","""{ENVS*4420}"""
"""ENVS*4440""","""Advanced Controlled Environment Systems""","""ENVS*3300""","""{}"""
"""ENVS*4510""","""Topics in Environmental Sciences""","""Minimum of 10.00 credits. Minimum cumulative average of 70%.""","""{}"""
"""EQN*2000""","""Equine Internship""","""4.00 credits""","""{}"""
"""EQN*2040""","""Equine Anatomy and Physiology""","""BIOL*1050""","""{}"""
"""EQN*2050""","""Introduction to Equine Nutrition""","""BIOL*1050""","""{}"""
"""EQN*2080""","""Equine Event Management""","""EQN*1010""","""{}"""
"""EQN*1010""","""Introduction to Equine Management""","""()""","""{}"""
"""EQN*2150""","""Equine Facility Management and Design""","""()""","""{}"""
"""EQN*2200""","""Equine Industry Trends and Issues I""","""EQN*1010""","""{}"""
"""EQN*2500""","""Equine Field Course""","""EQN*2150""","""{}"""
"""EQN*3060""","""Equine Reproduction""","""BIOL*1090 AND EQN*2040""","""{}"""
"""EQN*3070""","""Equine Health Management""","""EQN*2040""","""{}"""
"""EQN*3250""","""Equine Exercise Physiology""","""ANSC*3080 OR EQN*2040 AND EQN*2050""","""{}"""
"""EQN*4020""","""Advanced Equine Nutrition""","""EQN*2050 OR NUTR*3210""","""{}"""
"""EQN*4400""","""Equine Industry Trends and Issues II""","""12.50 credits AND EQN*2200""","""{}"""
"""EQN*4500""","""Equine Industry Project""","""15.00 credits""","""{EQN*3500}"""
"""EURO*1100""","""European Cinema""","""()""","""{}"""
"""EURO*2200""","""Gender and Modernism in Europe""","""2.00 credits""","""{}"""
"""EURO*3100""","""Europe and the World""","""7.50 credits""","""{}"""
"""EURO*3300""","""Violence and Culture in 20th Century Europe""","""7.50 credits""","""{EURO*2300}"""
"""EURO*3700""","""Experiential Learning and Language""","""10.00 credits AND 1.50 credits in European Studies.""","""{}"""
"""EURO*4050""","""Contemporary Europe. New Landscapes in the Post-Cold War Era""","""10.00 credits""","""{}"""
"""EURO*4600""","""Honours Seminar in European Studies""","""10.00 credits AND (2 of ARTH*1520 OR EURO*1050 OR EURO*1100 OR EURO*1200 OR EURO*2200 OR EURO*2300 OR EURO*3000 OR EURO*3300 OR HIST*2510 OR HIST*3090 OR MUSC*1060 OR POLS*3450)""","""{}"""
"""EURO*4740""","""Research Project in European Studies""","""10.00 credits including AND (EURO*1100 OR EURO*1200) AND EURO*2200 AND EURO*3000 AND EURO*3300""","""{}"""
"""XSEN*3070""","""Pharmaceutical Product Formulations""","""CHEM*3750""","""{}"""
"""XSEN*3090""","""Biopharmaceuticals""","""BIOC*2580 AND CHEM*2700""","""{}"""
"""XSEN*3200""","""Pharmaceutical Organic Chemistry""","""CHEM*3750""","""{}"""
"""XSEN*3210""","""Introduction to Pharmaceutical Manufacturing""","""CHEM*2700""","""{}"""
"""XSEN*3030""","""Pharmacology and Applied Toxicology""","""BIOC*2580 AND CHEM*2400""","""{}"""
"""XSEN*3040""","""Occupational Health and Chemistry""","""CHEM*2700""","""{}"""
"""XSEN*3060""","""Pharmaceutical Analysis - Advanced""","""BIOC*2580 AND CHEM*2400""","""{}"""
"""FRHD*1010""","""Human Development""","""()""","""{}"""
"""FRHD*1020""","""Couple and Family Relationships""","""()""","""{}"""
"""FRHD*1100""","""Life: Health and Well-Being""","""()""","""{}"""
"""FRHD*2040""","""Principles of Program Design for Children""","""FRHD*2270 OR PSYC*2450""","""{}"""
"""FRHD*2060""","""Adult Development and Aging""","""ANTH*1150 OR FRHD*1010 OR FRHD*1100 OR PSYC*1000 OR PSYC*1100 OR PSYC*1200 OR SOC*1100""","""{}"""
"""FRHD*2100""","""Development of Human Sexuality""","""4.00 credits""","""{}"""
"""FRHD*2110""","""Inclusive Practices for Children with Disabilities and Exceptionalities""","""4.00 credits""","""{}"""
"""FRHD*2270""","""Child Development""","""ANTH*1150 OR FRHD*1010 OR FRHD*1100 OR PSYC*1000 OR PSYC*1100 OR PSYC*1200 OR SOC*1100""","""{PSYC*2450}"""
"""FRHD*2280""","""Adolescent Development""","""ANTH*1150 OR FRHD*1010 OR FRHD*1100 OR PSYC*1000 OR SOC*1100""","""{}"""
"""FRHD*2400""","""Introduction to Human Services""","""4.00 credits AND (FRHD*1010 OR FRHD*2060 OR FRHD*2270 OR FRHD*2280 OR PSYC*2450)""","""{FRHD*2300,FRHD*2350}"""
"""FRHD*3040""","""Parenting and Intergenerational Relationships""","""8.00 credits""","""{}"""
"""FRHD*3060""","""Principles of Social Gerontology""","""8.00 credits AND (ANTH*1150 OR FRHD*1010 OR FRHD*1020 OR FRHD*1100 OR PSYC*1000 OR SOC*1100)""","""{}"""
"""FRHD*3070""","""Research Methods: Family Studies""","""4.00 credits""","""{}"""
"""FRHD*3090""","""Poverty and Health""","""8.00 credits AND (FRHD*1010 OR FRHD*2060 OR FRHD*2260 OR FRHD*2270 OR FRHD*2280 OR PSYC*2450)""","""{}"""
"""FRHD*3180""","""Observation and Assessment Laboratory""","""FRHD*2040 OR FRHD*2300 OR FRHD*2400""","""{}"""
"""FRHD*3190""","""Administration of Programs for Children""","""8.00 credits AND (FRHD*1010 OR FRHD*2260 OR FRHD*2270 OR PSYC*2450)""","""{}"""
"""FRHD*3200""","""Practicum I: Child""","""FRHD*2040""","""{}"""
"""FRHD*3250""","""Practicum I: Youth""","""FRHD*2300 OR FRHD*2400""","""{}"""
"""FRHD*3290""","""Practicum I: Adult""","""FRHD*2350 OR FRHD*2400""","""{}"""
"""FRHD*3400""","""Communication and Counselling Skills""","""4.00 credits AND 1 OF ANTH*1150 AND FRHD*1010 AND FRHD*1020 AND FRHD*1100 AND PSYC*1000 AND SOC*1100""","""{}"""
"""FRHD*3500""","""Research Internship in Family Relations And Human Development""","""FRHD*3070 AND STAT*2090""","""{}"""
"""FRHD*4020""","""Family Theory""","""12.00 credits AND FRHD*1020""","""{}"""
"""FRHD*4070""","""Topics in Family Relations and Human Development""","""()""","""{}"""
"""FRHD*4080""","""Topics in Family Relations and Human Development""","""()""","""{}"""
"""FRHD*4140""","""Selected Topics in Family Studies and Human Development""","""14.00 credits""","""{}"""
"""FRHD*4190""","""Assessment in Gerontology""","""12.00 credits""","""{}"""
"""FRHD*4200""","""Issues in Human Sexuality""","""13.00 credits AND FRHD*2100""","""{}"""
"""FRHD*4210""","""Senior Seminar in Early Education and Care""","""FRHD*3200""","""{}"""
"""FRHD*4250""","""Aging and Health""","""13.00 credits AND (BIOM*2000 OR BIOM*3200 OR FRHD*2060)""","""{}"""
"""FRHD*4260""","""Social Policies""","""13.00 credits AND (FRHD*2040 OR FRHD*2300 OR FRHD*2350 OR FRHD*2400 OR POLS*2230)""","""{FRHD*4320}"""
"""FRHD*4290""","""Practicum II: Adult""","""FRHD*3290""","""{}"""
"""FRHD*4320""","""Social Policies for Children and Families""","""13 credits AND (FRHD*2040 OR FRHD*2300 OR FRHD*2350 OR FRHD*2400 OR POLS*2230)""","""{FRHD*4260}"""
"""FRHD*4330""","""Practicum II: Child""","""FRHD*3200 OR FRHD*3250""","""{FRHD*4170,FRHD*4290,FRHD*4340}"""
"""FRHD*4340""","""Practicum II: Youth""","""FRHD*3200 OR FRHD*3250""","""{FRHD*4170,FRHD*4290,FRHD*4330}"""
"""FRHD*4350""","""Practicum III: Child""","""FRHD*4330""","""{}"""
"""FRHD*4400""","""Youth, Risk and Resilience""","""13.00 credits AND (FRHD*1010 OR FRHD*2060 OR FRHD*2270 OR FRHD*2280 OR PSYC*2450)""","""{}"""
"""FRHD*4810""","""Thesis I""","""FRHD*3070""","""{}"""
"""FRHD*4910""","""Thesis II""","""FRHD*4810""","""{}"""
"""FIN*2000""","""Introduction to Finance""","""ECON*1050 AND (IPS*1500 OR MATH*1030 OR MATH*1080 OR MATH*1200 OR (1 of ECON*2740 OR PSYC*1010 OR PSYC*2010 OR SOAN*2120 OR STAT*2040 OR STAT*2060 OR STAT*2080 OR STAT*2120))""","""{}"""
"""FIN*3000""","""Investments""","""ECON*2310 AND (ECON*2560 OR FIN*2000)""","""{}"""
"""FIN*3100""","""Corporate Finance""","""ECON*2560 OR FIN*2000""","""{}"""
"""FIN*3200""","""Fundamentals of Derivatives""","""ECON*2310 AND (ECON*2560 OR FIN*2000)""","""{FARE*4240}"""
"""FIN*3300""","""The Strategy of Mergers and Acquisitions""","""ECON*2310 AND ECON*2410 AND (ECON*2560 OR FIN*2000)""","""{}"""
"""FIN*3400""","""International Finance""","""ECON*2410 AND (ECON*2560 OR FIN*2000)""","""{}"""
"""FIN*3500""","""Money, Credit and the Financial System""","""ECON*2410 AND (ECON*2560 OR FIN*2000)""","""{}"""
"""FIN*4000""","""Advanced Topics in Finance""","""ECON*3710 AND ECON*3740 AND (ECON*3100 OR ECON*3810 OR ECON*4700 OR (2 of ECON*3360 OR ECON*3660 OR ECON*3760 OR ECON*3860 OR ECON*3960 OR FARE*4240 OR FIN*3000 OR FIN*3100 OR FIN*3200 OR FIN*3300 OR FIN*3400 OR FIN*3500))""","""{}"""
"""FIN*4100""","""Financial Econometrics""","""ECON*3740""","""{}"""
"""FIN*4200""","""Risk Management in Finance and Insurance""","""FIN*3100 AND (ECON*3660 OR FIN*3000) AND (ECON*3760 OR FIN*3200)""","""{}"""
"""FIN*4900""","""Special Study in Finance""","""ECON*3740,FIN*3100 AND (ECON*3660 OR FIN*3000)""","""{}"""
